"yearID","lgID","teamID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro","salary","RBI","GIDP","IBB","TB","SLG","OBP","OPS","WHIP","BABIP","RC","X1B","uBB","wOBA"
2001,"NL","MON","WSN","E",5,162,81,68,94,"N","N","N","N",670,5379,1361,320,28,131,478,1071,101,51,60,45,812,745,4.68,5,11,28,4294,1509,190,525,1103,108,139,0.982,"Montreal Expos","Stade Olympique",642745,101,102,"MON","MON","MON",35159500,622,151,59,2130,0.395984383714445,0.318517276081852,0.714501659796297,1.42105263157895,0.291331122690668,668.784360594161,882,419,0.312408944604438
2001,"AL","NYA","NYY","E",1,161,80,95,65,"Y","N","Y","N",804,5577,1488,289,20,203,519,1035,161,53,64,43,713,649,4.02,7,9,57,4354,1429,158,465,1266,109,132,0.982,"New York Yankees","Yankee Stadium II",3264907,102,100,"NYY","NYA","NYA",112287143,774,119,38,2426,0.435000896539358,0.33387070772207,0.768871604261428,1.30500689021589,0.293245093564582,798.717519685039,976,481,0.33614598540146
2001,"NL","NYN","NYM","E",3,162,81,82,80,"N","N","N","N",642,5459,1361,273,18,147,545,1062,66,48,65,35,713,654,4.07,6,14,48,4337,1418,186,438,1191,101,132,0.983,"New York Mets","Shea Stadium",2658330,96,96,"NYM","NYN","NYN",93174428,608,124,59,2111,0.386700860963546,0.322903014416776,0.709603875380322,1.28383675351626,0.283313885647608,670.147568287808,923,486,0.312354011579818
2001,"AL","OAK","OAK","W",2,162,81,102,60,"N","Y","N","N",884,5573,1469,334,22,199,640,1021,68,29,88,59,645,583,3.59,13,9,44,4390,1384,153,440,1117,125,151,0.98,"Oakland Athletics","Oakland Coliseum",2133277,99,97,"OAK","OAK","OAK",33810750,835,131,57,2444,0.438542975058317,0.345440251572327,0.783983226630644,1.24646924829157,0.287851314596555,829.614678899083,914,583,0.342187847056957
2001,"NL","PHI","PHI","E",2,162,81,86,76,"N","N","N","N",746,5497,1431,295,29,164,551,1125,153,47,43,61,719,667,4.15,8,7,47,4336,1417,170,527,1086,91,145,0.985,"Philadelphia Phillies","Veterans Stadium",1782054,98,98,"PHI","PHI","PHI",41663833,708,104,52,2276,0.414044024013098,0.329161248374512,0.74320527238761,1.3450184501845,0.296790817521668,745.871693121693,943,499,0.324683606557377
2001,"NL","PIT","PIT","C",6,162,81,62,100,"N","N","N","N",657,5398,1333,256,25,161,467,1106,93,73,67,35,858,794,5.05,8,9,36,4249,1493,167,549,908,133,168,0.978,"Pittsburgh Pirates","PNC Park",2464870,103,105,"PIT","PIT","PIT",57760833,618,114,51,2122,0.393108558725454,0.312887548181666,0.70599610690712,1.44175100023535,0.28132501200192,651.253196930946,891,416,0.309667004732928
2001,"NL","SDN","SDP","W",4,162,81,79,83,"N","N","N","N",789,5482,1379,273,26,161,678,1273,129,44,41,48,812,724,4.52,5,6,46,4322,1519,219,476,1088,145,127,0.976,"San Diego Padres","Qualcomm Stadium",2378128,91,92,"SDP","SDN","SDN",39182833,753,121,37,2187,0.398941991973732,0.335733717394783,0.734675709368515,1.38477556686719,0.29736328125,730.301785714286,919,641,0.324637797810689
2001,"AL","SEA","SEA","W",1,162,81,116,46,"Y","N","N","N",927,5680,1637,310,38,169,614,989,174,42,62,70,627,576,3.54,8,14,56,4395,1293,160,465,1051,83,137,0.986,"Seattle Mariners","Safeco Field",3507326,94,93,"SEA","SEA","SEA",74720834,881,112,54,2530,0.445422535211268,0.359943977591036,0.805366512802304,1.2,0.319686411149826,904.834763266603,1120,560,0.351224105461394
2001,"NL","SFN","SFG","W",2,162,81,90,72,"N","N","N","N",799,5612,1493,304,40,235,625,1090,57,42,50,54,748,680,4.18,3,8,47,4390,1437,145,579,1080,118,170,0.981,"San Francisco Giants","PacBell Park",3311958,93,92,"SFG","SFN","SFN",63280167,775,108,79,2582,0.460085531004989,0.34190190821637,0.801987439221359,1.37767653758542,0.289794978115642,876.811928811929,914,546,0.346627275630789
2001,"NL","SLN","STL","C",2,162,82,93,69,"N","Y","N","N",814,5450,1469,274,32,199,529,1089,91,35,65,50,684,627,3.93,8,11,38,4306,1389,196,526,1083,110,156,0.982,"St. Louis Cardinals","Busch Stadium II",3109578,100,99,"STL","SLN","SLN",78538333,768,125,51,2404,0.441100917431193,0.338529701345586,0.779630618776779,1.3341848583372,0.301519468186135,803.343702960361,964,478,0.339616084726129
